reviewId,userName,content,rating,thumbsUpCount,replyContent,rated_app_version,annotator_1_sentiment,vader_sentiment,vader_compound,afinn_score,afinn_sentiment
1,Derrick Sinyangwe,when am playing this game l remove all my stress,5,0,,unknown,Positive,Positive,0.25,-1.0,Negative
3,Hamza Butt,my app is not working while internet is on. how can i solve it. when i turn of internet app start working. whyy,2,0,"it seems you're having trouble with the app while online. please contact our support team via the ingame help section settings support and share your issue details. your feedback is important, and we hope you'll be back to enjoying the game soon!",3.61.0,Negative,Positive,0.2023,1.0,Positive
4,Sajith Ram,"i love this game, but now a days it seems it's getting too greedy showing add like add application not game this is like showing me add after each game which is making soo frustrated if any main head see this message please take action against this",2,0,"were glad you love the game! we appreciate your feedback on the ads. they help keep subway surfers free, and we're working to improve this experience. thank you for sharing your thoughts, and we hope you'll consider updating your rating. enjoy playing!",3.61.0,Negative,Positive,0.5423,4.0,Positive
6,Sunil Sarkar,it's so good when i open subway surfers i atleast play it for 20 minutes because it's so addictive and great and the multiplayer mode made my day!,5,0,,3.61.0,Positive,Positive,0.882,6.0,Positive
7,Shivanjay Samrat,too much advertisement it's irritates,2,0,"we totally get that the ads can be a bit much, and we appreciate your honesty! while they help us keep subway surfers free, we know they can be annoying. our team is actively working on improving this, and your feedback means a lot to us. we hope you'll consider updating your rating in the future and that you still find joy in the game!",3.61.0,Negative,Negative,-0.4019,-3.0,Negative
9,Alice Moepedi,there are many ads that need internet when claiming money,1,1,"we understand that ads needing an internet connection for rewards can be annoying. these ads help keep subway surfers free, and we're working to improve the experience. we appreciate your feedback and hope you'll consider updating your rating. enjoy the game and have fun!",3.60.1,Negative,Neutral,0.0,0.0,Neutral
10,Olivia Vt,very fun,5,0,,3.61.0,Positive,Positive,0.5563,4.0,Positive
11,Annabelle Mauser,the most stupid game ever and events are trash,1,0,,unknown,Negative,Negative,-0.5709,-2.0,Negative
12,Iron Man,it is a good game,5,0,,unknown,Positive,Positive,0.4404,3.0,Positive
13,Alan Mccormick,i love it its really fun,5,0,,3.61.0,Positive,Positive,0.8313,7.0,Positive
14,Olawumi Emmanuel,i thank you,5,0,,unknown,Positive,Positive,0.3612,2.0,Positive
16,Aysha Nk,subway surfers super game my first game is subway surfers i love you subway surfers game,5,0,,3.61.0,Positive,Positive,0.8442,6.0,Positive
17,Jabon Nessa,still remember using skateboard to high score i had more than 2000 back in the day,5,0,,unknown,Positive,Neutral,0.0,0.0,Neutral
19,Paisley Mendes,i love the way it makes me feel because it makes me feel. good,5,0,,3.61.0,Positive,Positive,0.7964,6.0,Positive
20,Rajesh Yadav,nice game because of their good update or nice nice apparentlys,5,0,,3.61.0,Positive,Positive,0.8834,12.0,Positive
21,Srujana Shankar,i like the game because we can play with our friends and race like in other games...,5,0,,unknown,Positive,Positive,0.8591,4.0,Positive
24,Ahmed Hamada,"please add more characters with unique designs and introduce new abilities for the boards, as the current 'special powers' have become a bit boring. i suggest adding a magnetic ability to the skateboard so it can attract anything on the three tracks, from gifts and boxes to anything else.",5,0,,3.61.0,Positive,Positive,0.83,3.0,Positive
25,Miracle Ifeanyichukwu,great game,5,0,,3.61.0,Positive,Positive,0.6249,3.0,Positive
26,Clive Rango,the best,5,0,,3.61.0,Positive,Positive,0.6369,3.0,Positive
27,Shalini Priya,i love this game very much,5,0,,3.61.0,Positive,Positive,0.6369,3.0,Positive
28,Markus Battack,"this the game i'm playing when i'm pooping or eating, it's peak level entertainment, never gets old",5,0,,3.61.0,Positive,Positive,0.5574,0.0,Neutral
29,Leo Shelfo,probably the best mobile game. of all time.,5,0,,3.61.0,Positive,Positive,0.6369,3.0,Positive
32,Subway Surfers Unlocked All Things,"please add more characters with unique designs and introduce new abilities for the boards, as the current 'special powers' have become a bit boring",5,0,,unknown,Positive,Positive,0.5719,0.0,Neutral
33,Wish Jeff,i love the game,5,0,,3.61.0,Positive,Positive,0.6369,3.0,Positive
34,Aastha Pandey,it's good really good,4,0,hi there! it's fantastic to hear that you're enjoying it so much! your support truly means a lot to us. we're here to keep delivering great experiences for you!,3.61.0,Positive,Positive,0.7264,6.0,Positive
35,Kaddu Daniel,it's good,5,0,,3.60.0,Positive,Positive,0.4404,3.0,Positive
37,Udochukwu Oranta,this game is very unique,5,0,,3.60.0,Positive,Neutral,0.0,0.0,Neutral
38,Natik Sunwal,best time spending with friends and feamily,5,0,,unknown,Positive,Positive,0.8074,3.0,Positive
39,Azaree Brockinton,subway surfers is the best game in the world well not the world but it's super duper funny and you can play it offline and i definitely recommend five star game,5,0,,3.61.0,Positive,Positive,0.9702,11.0,Positive
41,Jeanette Jacquemar,i love it my hair fly to another dimension because of bunny betty i'll give you 900 and i love your game 789,5,0,,3.61.0,Positive,Positive,0.8555,4.0,Positive
46,Enkhbolor Enkhbold,really great competitive game,3,0,hi there! it's fantastic to hear that you find the game competitive and enjoyable! we truly appreciate your positive feedback and are so glad to have you as part of our community. keep having fun and challenging yourself in those exciting runs!,3.61.0,Neutral,Positive,0.7485,5.0,Positive
48,Ram Ezequell Perez,game good life will make me like is,5,0,,3.61.0,Positive,Positive,0.6597,5.0,Positive
49,Nawaz Khilji,very game i like this game very much,5,0,,3.58.0,Positive,Positive,0.4144,2.0,Positive
50,Precious Damilola,it is interesting,4,0,hi there! we appreciate your feedback and are glad you find the game interesting! we hope you continue to enjoy it and discover even more exciting features. happy gaming!,3.61.0,Positive,Positive,0.4019,2.0,Positive
51,Arijit Das,i love this game because interesting game,5,0,,unknown,Positive,Positive,0.7845,5.0,Positive
53,Caressa Pantaleon,bc u loose ur account and stuff,2,0,"losing access to your account is disheartening. we appreciate your feedback. for more details, please contact our support team via settings support. your input is valuable, and we hope you can continue enjoying the game without interruptions!",3.61.0,Negative,Negative,-0.3182,-3.0,Negative
54,Nayan Karthik,its good,5,0,,3.61.0,Positive,Positive,0.4404,3.0,Positive
56,Rukiya Ek,i like this game it is nise game thank you,5,0,,unknown,Positive,Positive,0.6124,4.0,Positive
