reviewId,userName,content,rating,thumbsUpCount,replyContent,rated_app_version,annotator_1_sentiment,vader_sentiment,vader_compound,afinn_score,afinn_sentiment,ground_truth_sentiment
1,Leo Diaz,"it doesn't keep your stuff when you delete and download it,it rest my whole account and i hate this game",1,0,"thank you for sharing your experience. losing progress after reinstalling the game can be disheartening. your feedback is valuable, and wed love to hear more. please reach out to our support team via the ingame help section settings support. we look forward to assisting you!",unknown,Negative,Negative,-0.5719,-3.0,Negative,Negative
2,Ryan Klutts,fun and play offline,5,0,,3.60.0,Positive,Positive,0.6369,3.0,Positive,Positive
3,Ellen Yeboah,cool,5,0,,unknown,Positive,Positive,0.3182,1.0,Positive,Positive
6,Ahmadabalrahman Ahmad,it's good,5,0,,3.60.0,Positive,Positive,0.4404,3.0,Positive,Positive
9,Ramlat Kabir Wada,i love this game it deserves 5 stars and works on all phones,5,0,,unknown,Positive,Positive,0.6369,3.0,Positive,Positive
10,Tomilola Aribo,"this game is a straight 10, to be honest. always and will always look to download it whenever i switch phones or just for offline entertainment. i have no complaints so far because being able to access the game while offline is another level of privilege that other games don't allow. 5 from me",5,0,,3.60.0,Positive,Positive,0.8439,2.0,Positive,Positive
12,Jace Dunton,be your self and play subway surfers.,4,0,,unknown,Positive,Positive,0.34,0.0,Neutral,Positive
13,Chloe Shore,works without internet,5,0,,3.60.0,Positive,Neutral,0.0,0.0,Neutral,Neutral
15,Summer,really fun,5,0,,3.60.0,Positive,Positive,0.5563,4.0,Positive,Positive
16,Adewale Basira,this is a seriously game and very helpful game,5,0,,unknown,Positive,Positive,0.3384,2.0,Positive,Positive
17,Manal Sadha,absolute cinema its good for play without internet and i will say that they should add more features,5,0,,unknown,Positive,Positive,0.6486,3.0,Positive,Positive
18,Shawna Hill,"absolutely marvelous! fun, and little to no ads.",5,0,,3.60.0,Positive,Positive,0.7988,7.0,Positive,Positive
19,Niya Kappan,just my childhood,5,0,,3.60.0,Positive,Neutral,0.0,0.0,Neutral,Neutral
20,Hhgf Ifgih,sargam of,5,0,,unknown,Positive,Neutral,0.0,0.0,Neutral,Neutral
